subject,n,correct,acc,n_multiple_choice,n_open,n_parse_fallback,n_truncated
Accounting,30,17,56.666666666666664,30,0,1,7
Agriculture,30,17,56.666666666666664,30,0,0,0
Architecture_and_Engineering,30,16,53.333333333333336,29,1,2,15
Art,30,18,60.0,30,0,0,0
Art_Theory,30,24,80.0,30,0,0,0
Basic_Medical_Science,30,21,70.0,28,2,0,0
Biology,30,14,46.666666666666664,29,1,0,0
Chemistry,30,10,33.33333333333333,23,7,0,1
Clinical_Medicine,30,20,66.66666666666666,30,0,0,0
Computer_Science,30,15,50.0,27,3,0,1
Design,30,23,76.66666666666667,30,0,0,0
Diagnostics_and_Laboratory_Medicine,30,12,40.0,30,0,0,0
Economics,30,23,76.66666666666667,29,1,0,1
Electronics,30,16,53.333333333333336,16,14,0,5
Energy_and_Power,30,19,63.33333333333333,30,0,2,14
Finance,30,19,63.33333333333333,22,8,2,4
Geography,30,17,56.666666666666664,27,3,0,1
History,30,20,66.66666666666666,30,0,0,0
Literature,30,24,80.0,30,0,0,0
Manage,30,11,36.666666666666664,24,6,0,0
Marketing,30,25,83.33333333333334,29,1,0,1
Materials,30,15,50.0,30,0,0,10
Math,30,15,50.0,29,1,0,5
Mechanical_Engineering,30,16,53.333333333333336,30,0,1,10
Music,30,10,33.33333333333333,30,0,0,0
Pharmacy,30,21,70.0,27,3,0,0
Physics,30,18,60.0,29,1,0,0
Psychology,30,22,73.33333333333333,29,1,0,0
Public_Health,30,25,83.33333333333334,30,0,0,2
Sociology,30,18,60.0,30,0,0,0
