subject,n,correct,acc,n_multiple_choice,n_open,n_parse_fallback,n_truncated
Accounting,30,16,53.333333333333336,30,0,7,14
Agriculture,30,17,56.666666666666664,30,0,0,0
Architecture_and_Engineering,30,6,20.0,29,1,10,23
Art,30,18,60.0,30,0,0,0
Art_Theory,30,24,80.0,30,0,0,0
Basic_Medical_Science,30,21,70.0,28,2,0,0
Biology,30,15,50.0,29,1,0,2
Chemistry,30,11,36.666666666666664,23,7,2,5
Clinical_Medicine,30,20,66.66666666666666,30,0,0,0
Computer_Science,30,15,50.0,27,3,0,5
Design,30,23,76.66666666666667,30,0,0,0
Diagnostics_and_Laboratory_Medicine,30,12,40.0,30,0,0,0
Economics,30,22,73.33333333333333,29,1,0,4
Electronics,30,14,46.666666666666664,16,14,2,7
Energy_and_Power,30,14,46.666666666666664,30,0,15,23
Finance,30,13,43.333333333333336,22,8,5,9
Geography,30,16,53.333333333333336,27,3,1,4
History,30,20,66.66666666666666,30,0,0,0
Literature,30,24,80.0,30,0,0,0
Manage,30,12,40.0,24,6,1,3
Marketing,30,21,70.0,29,1,6,6
Materials,30,16,53.333333333333336,30,0,4,24
Math,30,15,50.0,29,1,6,12
Mechanical_Engineering,30,11,36.666666666666664,30,0,9,13
Music,30,10,33.33333333333333,30,0,0,0
Pharmacy,30,20,66.66666666666666,27,3,0,1
Physics,30,17,56.666666666666664,29,1,1,5
Psychology,30,22,73.33333333333333,29,1,0,0
Public_Health,30,24,80.0,30,0,4,6
Sociology,30,19,63.33333333333333,30,0,0,0
